Main Category,Item Type,Item Name,Quantity,Unit,Brand,Part Number,Subcategory,Supplier,Location,Reorder Threshold,Notes,Critical Item,In Stock,NEEDS_REVIEW,Original Row,,,,,,,,
Tender/dingy,Item,Dingy anchor,1,piece,,,,,Stern cupboard - behind helm,0,No,No,,,187,,,,,,,,
Tender/dingy,Item,Dingy swim ladder,1,piece,,,,,Stern cupboard - behind helm,0,No,No,,,188,,,,,,,,
Outdoor cleaning,Item,boat hooks,1,piece,Ethanol (spray bottle),500,ml,,Stern bench,0,Stern bench,No,,STOCK_UNKNOWN,,Yes,TYPE_UNKNOWN,190,,,,,
Outdoor cleaning,Item,boat hooks,1,piece,Deck master dek reiniger,1,liter,,Stern bench,0,No,No,,STOCK_UNKNOWN,,UNKNOWN,TYPE_UNKNOWN; STOCK_UNKNOWN; NO_LOCATION,191,,,,,
Outdoor cleaning,Item,boat hooks,1,piece,flexiteek.,(colorless organic quickcleaner for varnished/unvarnished surfaces,a strong alkaline degreaser to clean ship decks incl painted/varnished,,0,0,No,No,,STOCK_UNKNOWN,,UNKNOWN,QTY_UNCLEAR; TYPE_UNKNOWN; STOCK_UNKNOWN; NO_LOCATION,192,,,,,
Outdoor cleaning,Supply,Empty bottle of deck master support mater (highly concentrated multi-cleaner for streak-free cleaning of the inside and outside of your yacht),1,Bottle,,,,Supply,Stern bench,0,No,No,,STOCK_UNKNOWN,,2,,,,UNKNOWN,QTY_BLANK; STOCK_UNKNOWN; NO_LOCATION,194,
Outdoor cleaning,Supply,500 ml deck master bright master,1,Bottle,,,,UNKNOWN,Stern bench,0,No,No,,STOCK_UNKNOWN,Stern bench,,,,,Yes,QTY_BLANK; TYPE_UNKNOWN,196,
Outdoor cleaning,Supply,Star Clean stainless polish,2,Bottle,,,,UNKNOWN,Stern bench,0,No,No,,STOCK_UNKNOWN,Stern bench,,,,,Yes,TYPE_UNKNOWN,197,
Outdoor cleaning,Supply,Alva stainless cleaner,500,Bottle,,,,UNKNOWN,Stern bench,0,No,No,,STOCK_UNKNOWN,Stern bench,,,,,Yes,TYPE_UNKNOWN,198,
Outdoor cleaning,Supply,Starbrite teak cleaner,1,Bottle,,,,UNKNOWN,Stern bench,0,No,No,,STOCK_UNKNOWN,Stern bench,,,,,Yes,TYPE_UNKNOWN,199,
Outdoor cleaning,Supply,Starbrite boat wash,1,Bottle,,,,UNKNOWN,Stern bench,0,No,No,,STOCK_UNKNOWN,Stern bench,,,,,Yes,TYPE_UNKNOWN,200,
Outdoor cleaning,Supply,Windex (vinegar version),1,Bottle,,,,UNKNOWN,Stern bench,0,No,No,,STOCK_UNKNOWN,Stern bench,,,,,Yes,TYPE_UNKNOWN,201,
